Navaid_ID,Sector_ID
EDDM,SECTOR_AIRPORT_EDDM
EDNY,SECTOR_AIRPORT_EDNY
LIPB,SECTOR_AIRPORT_LIPB
LOWG,SECTOR_AIRPORT_LOWG
LOWI,SECTOR_AIRPORT_LOWI
LOWK,SECTOR_AIRPORT_LOWK
LOWL,SECTOR_AIRPORT_LOWL
LOWS,SECTOR_AIRPORT_LOWS
LOWW,SECTOR_AIRPORT_LOWW
LZIB,SECTOR_AIRPORT_LZIB
4711E_FL000,SECTOR_000000
4812E_FL000,SECTOR_000001
AALEN_FL000,SECTOR_000002
ABABI_FL000,SECTOR_000003
ABETI_FL000,SECTOR_000004
ABGAS_FL000,SECTOR_000002
ABINN_FL000,SECTOR_000000
ABIRI_FL000,SECTOR_000005
ABISI_FL000,SECTOR_000003
ABLOM_FL000,SECTOR_000006
ABREG_FL000,SECTOR_000007
ABRUK_FL000,SECTOR_000005
ABTAL_FL000,SECTOR_000002
ADILO_FL000,SECTOR_000008
ADLET_FL000,SECTOR_000009
AKIMA_FL000,SECTOR_000003
AKINI_FL000,SECTOR_000010
ALAGO_FL000,SECTOR_000011
ALESE_FL000,SECTOR_000012
ALGOI_FL000,SECTOR_000007
ALMER_FL000,SECTOR_000005
ALONU_FL000,SECTOR_000013
AMADI_FL000,SECTOR_000003
AMEMI_FL000,SECTOR_000014
AMEXO_FL000,SECTOR_000015
AMPEG_FL000,SECTOR_000015
AMRIS_FL000,SECTOR_000016
ANDEC_FL000,SECTOR_000015
ANKER_FL000,SECTOR_000010
ARNOS_FL000,SECTOR_000012
ARSIN_FL000,SECTOR_000004
ARSUT_FL000,SECTOR_000011
ARTUS_FL000,SECTOR_000001
ASTUT_FL000,SECTOR_000017
ATRIG_FL000,SECTOR_000008
B0001_FL000,SECTOR_000018
B0002_FL000,SECTOR_000018
BABEG_FL000,SECTOR_000002
BADIT_FL000,SECTOR_000003
BADVI_FL000,SECTOR_000001
BAGSI_FL000,SECTOR_000005
BAKOR_FL000,SECTOR_000012
BALAD_FL000,SECTOR_000019
BAMUR_FL000,SECTOR_000007
BARUG_FL000,SECTOR_000020
BARUV_FL000,SECTOR_000020
BAVAX_FL000,SECTOR_000021
BEGEN_FL000,SECTOR_000021
BEGLA_FL000,SECTOR_000004
BEPAS_FL000,SECTOR_000022
BERAS_FL000,SECTOR_000000
BESNI_FL000,SECTOR_000023
BETOS_FL000,SECTOR_000015
BIKBI_FL000,SECTOR_000011
BIRGI_FL000,SECTOR_000024
BIXEL_FL000,SECTOR_000003
BODAN_FL000,SECTOR_000011
BOLMU_FL000,SECTOR_000025
BRENO_FL000,SECTOR_000008
BRK63_FL000,SECTOR_000026
BRK94_FL000,SECTOR_000026
BUDEX_FL000,SECTOR_000009
BURAM_FL000,SECTOR_000027
BUREG_FL000,SECTOR_000023
BZO22_FL000,SECTOR_000007
CHIEM_FL000,SECTOR_000001
DEGAB_FL000,SECTOR_000009
DEGIN_FL000,SECTOR_000003
DEGUM_FL000,SECTOR_000012
DENED_FL000,SECTOR_000008
DENUX_FL000,SECTOR_000028
DEPIN_FL000,SECTOR_000015
DETSA_FL000,SECTOR_000012
DILIT_FL000,SECTOR_000009
DIMLO_FL000,SECTOR_000004
DIMUP_FL000,SECTOR_000007
DINOG_FL000,SECTOR_000003
DISUN_FL000,SECTOR_000015
DITIS_FL000,SECTOR_000009
DIVAL_FL000,SECTOR_000004
DM010_FL000,SECTOR_000010
DM011_FL000,SECTOR_000010
DM014_FL000,SECTOR_000029
DM015_FL000,SECTOR_000021
DM020_FL000,SECTOR_000013
DM021_FL000,SECTOR_000013
DM024_FL000,SECTOR_000030
DM025_FL000,SECTOR_000021
DM026_FL000,SECTOR_000030
DM030_FL000,SECTOR_000023
DM031_FL000,SECTOR_000031
DM032_FL000,SECTOR_000021
DM033_FL000,SECTOR_000029
DM034_FL000,SECTOR_000032
DM035_FL000,SECTOR_000033
DM036_FL000,SECTOR_000031
DM040_FL000,SECTOR_000015
DM041_FL000,SECTOR_000021
DM044_FL000,SECTOR_000032
DM049_FL000,SECTOR_000021
DM050_FL000,SECTOR_000021
DM051_FL000,SECTOR_000021
DM052_FL000,SECTOR_000021
DM053_FL000,SECTOR_000031
DM054_FL000,SECTOR_000031
DM055_FL000,SECTOR_000031
DM056_FL000,SECTOR_000033
DM057_FL000,SECTOR_000010
DM058_FL000,SECTOR_000031
DM059_FL000,SECTOR_000034
DM060_FL000,SECTOR_000021
DM061_FL000,SECTOR_000021
DM062_FL000,SECTOR_000031
DM063_FL000,SECTOR_000023
DM064_FL000,SECTOR_000033
DM065_FL000,SECTOR_000010
DM066_FL000,SECTOR_000021
DM067_FL000,SECTOR_000029
DM068_FL000,SECTOR_000001
DM070_FL000,SECTOR_000032
DM071_FL000,SECTOR_000013
DM072_FL000,SECTOR_000032
DM073_FL000,SECTOR_000032
DM074_FL000,SECTOR_000013
DM075_FL000,SECTOR_000001
DM076_FL000,SECTOR_000001
DM077_FL000,SECTOR_000032
DM078_FL000,SECTOR_000013
DM079_FL000,SECTOR_000010
DM080_FL000,SECTOR_000013
DM081_FL000,SECTOR_000013
DM082_FL000,SECTOR_000013
DM083_FL000,SECTOR_000013
DM084_FL000,SECTOR_000032
DM085_FL000,SECTOR_000032
DM086_FL000,SECTOR_000013
DM087_FL000,SECTOR_000032
DM088_FL000,SECTOR_000010
DM089_FL000,SECTOR_000010
DM090_FL000,SECTOR_000032
DM091_FL000,SECTOR_000010
DM094_FL000,SECTOR_000013
DM411_FL000,SECTOR_000023
DM412_FL000,SECTOR_000010
DM420_FL000,SECTOR_000023
DM421_FL000,SECTOR_000023
DM422_FL000,SECTOR_000021
DM423_FL000,SECTOR_000033
DM424_FL000,SECTOR_000033
DM425_FL000,SECTOR_000010
DM426_FL000,SECTOR_000010
DM427_FL000,SECTOR_000010
DM428_FL000,SECTOR_000010
DM429_FL000,SECTOR_000003
DM430_FL000,SECTOR_000031
DM431_FL000,SECTOR_000031
DM433_FL000,SECTOR_000021
DM436_FL000,SECTOR_000013
DM438_FL000,SECTOR_000010
DM439_FL000,SECTOR_000003
DM440_FL000,SECTOR_000031
DM441_FL000,SECTOR_000031
DM443_FL000,SECTOR_000021
DM446_FL000,SECTOR_000013
DM448_FL000,SECTOR_000013
DM449_FL000,SECTOR_000003
DM450_FL000,SECTOR_000015
DM451_FL000,SECTOR_000034
DM452_FL000,SECTOR_000021
DM453_FL000,SECTOR_000021
DM454_FL000,SECTOR_000021
DM455_FL000,SECTOR_000013
DM456_FL000,SECTOR_000013
DM457_FL000,SECTOR_000013
DM458_FL000,SECTOR_000013
DM459_FL000,SECTOR_000003
DM460_FL000,SECTOR_000021
DM461_FL000,SECTOR_000001
DM531_FL000,SECTOR_000029
DM532_FL000,SECTOR_000033
DM541_FL000,SECTOR_000030
DM542_FL000,SECTOR_000021
DM551_FL000,SECTOR_000032
DM552_FL000,SECTOR_000010
DM561_FL000,SECTOR_000032
DM562_FL000,SECTOR_000013
DMN01_FL000,SECTOR_000029
DMN02_FL000,SECTOR_000032
DMN11_FL000,SECTOR_000032
DMN18_FL000,SECTOR_000032
DMN19_FL000,SECTOR_000032
DMN21_FL000,SECTOR_000032
DMN35_FL000,SECTOR_000021
DMS01_FL000,SECTOR_000030
DMS11_FL000,SECTOR_000032
DMS14_FL000,SECTOR_000021
DMS26_FL000,SECTOR_000030
DMS31_FL000,SECTOR_000021
DMS83_FL000,SECTOR_000032
DODIL_FL000,SECTOR_000002
DOMAL_FL000,SECTOR_000022
DONAX_FL000,SECTOR_000002
DONIX_FL000,SECTOR_000027
DS011_FL000,SECTOR_000011
DS020_FL000,SECTOR_000035
DS021_FL000,SECTOR_000035
DS026_FL000,SECTOR_000036
DS030_FL000,SECTOR_000036
DS031_FL000,SECTOR_000036
DS032_FL000,SECTOR_000035
DS033_FL000,SECTOR_000036
DS034_FL000,SECTOR_000011
DS035_FL000,SECTOR_000035
DS036_FL000,SECTOR_000036
DS037_FL000,SECTOR_000036
DS038_FL000,SECTOR_000035
DS410_FL000,SECTOR_000011
DS425_FL000,SECTOR_000035
DS426_FL000,SECTOR_000037
DS427_FL000,SECTOR_000011
DS435_FL000,SECTOR_000002
DS436_FL000,SECTOR_000011
DS511_FL000,SECTOR_000035
DS512_FL000,SECTOR_000035
DS513_FL000,SECTOR_000035
DS514_FL000,SECTOR_000002
DS515_FL000,SECTOR_000002
DS517_FL000,SECTOR_000011
DS520_FL000,SECTOR_000011
DS522_FL000,SECTOR_000035
DS523_FL000,SECTOR_000002
DS524_FL000,SECTOR_000002
DS525_FL000,SECTOR_000002
DS526_FL000,SECTOR_000035
DS531_FL000,SECTOR_000035
DS532_FL000,SECTOR_000035
DS533_FL000,SECTOR_000035
DS534_FL000,SECTOR_000038
DS535_FL000,SECTOR_000002
DS542_FL000,SECTOR_000037
DS543_FL000,SECTOR_000002
DS544_FL000,SECTOR_000002
