IDENTIFIER,LAT,LON,ALTITUDE,IS_AIRPORT
EDDM,48.353802,11.7861,0.0,1
EDNY,47.671299,9.51149,0.0,1
LIPB,46.460201,11.3264,0.0,1
LOWG,46.9911,15.4396,0.0,1
LOWI,47.260201,11.344,0.0,1
LOWK,46.642502,14.3377,0.0,1
LOWL,48.2332,14.1875,0.0,1
LOWS,47.793301,13.0043,0.0,1
LOWW,48.110298,16.5697,0.0,1
LZIB,48.1702,17.2127,0.0,1
4711E_FL000,47.587222,11.733611,0.0,0
4812E_FL000,47.605708,12.198758,0.0,0
AALEN_FL000,48.600555,10.115556,0.0,0
ABABI_FL000,48.538611,12.947778,0.0,0
ABETI_FL000,47.677714,17.012842,0.0,0
ABGAS_FL000,48.593667,10.391667,0.0,0
ABINN_FL000,47.373334,11.465,0.0,0
ABIRI_FL000,46.762503,14.967572,0.0,0
ABISI_FL000,48.920556,12.770556,0.0,0
ABLOM_FL000,48.06757,17.0877,0.0,0
ABREG_FL000,46.306944,9.551389,0.0,0
ABRUK_FL000,47.383131,15.006631,0.0,0
ABTAL_FL000,48.854633,10.107061,0.0,0
ADILO_FL000,47.340833,10.942,0.0,0
ADLET_FL000,48.5676,14.299283,0.0,0
AKIMA_FL000,48.413158,13.310336,0.0,0
AKINI_FL000,48.749722,12.124167,0.0,0
ALAGO_FL000,47.799722,9.462778,0.0,0
ALESE_FL000,46.275,11.403889,0.0,0
ALGOI_FL000,47.447425,10.488669,0.0,0
ALMER_FL000,48.018503,14.332181,0.0,0
ALONU_FL000,48.293333,12.028333,0.0,0
AMADI_FL000,48.091317,12.913792,0.0,0
AMEMI_FL000,47.894722,10.167222,0.0,0
AMEXO_FL000,48.101667,10.803333,0.0,0
AMPEG_FL000,48.132222,11.178056,0.0,0
AMRIS_FL000,47.504167,9.383333,0.0,0
ANDEC_FL000,47.886667,11.334444,0.0,0
ANKER_FL000,48.5725,12.002222,0.0,0
ARNOS_FL000,46.541256,13.569311,0.0,0
ARSIN_FL000,47.566399,16.752831,0.0,0
ARSUT_FL000,48.166667,9.328489,0.0,0
ARTUS_FL000,47.518861,12.255797,0.0,0
ASTUT_FL000,48.763514,16.047875,0.0,0
ATRIG_FL000,46.885278,11.265556,0.0,0
B0001_FL000,48.188916,17.183578,0.0,0
B0002_FL000,48.190073,17.181785,0.0,0
BABEG_FL000,48.672,9.665333,0.0,0
BADIT_FL000,48.164444,12.834444,0.0,0
BADVI_FL000,47.730833,11.945277,0.0,0
BAGSI_FL000,48.057819,14.289717,0.0,0
BAKOR_FL000,46.608889,11.728611,0.0,0
BALAD_FL000,47.766667,16.236944,0.0,0
BAMUR_FL000,47.544722,9.543611,0.0,0
BARUG_FL000,47.89682,15.35554,0.0,0
BARUV_FL000,47.894322,15.480803,0.0,0
BAVAX_FL000,48.262778,11.675556,0.0,0
BEGEN_FL000,48.319533,11.4815,0.0,0
BEGLA_FL000,47.83071,17.11443,0.0,0
BEPAS_FL000,48.898333,13.509722,0.0,0
BERAS_FL000,47.359367,11.769575,0.0,0
BESNI_FL000,48.643611,11.251667,0.0,0
BETOS_FL000,48.068056,11.35,0.0,0
BIKBI_FL000,47.971389,9.462222,0.0,0
BIRGI_FL000,47.347778,11.940556,0.0,0
BIXEL_FL000,48.6975,12.584722,0.0,0
BODAN_FL000,47.5875,9.451389,0.0,0
BOLMU_FL000,48.985786,16.955789,0.0,0
BRENO_FL000,46.98,11.376667,0.0,0
BRK63_FL000,48.110317,16.576902,0.0,0
BRK94_FL000,48.124577,16.534677,0.0,0
BUDEX_FL000,48.948328,14.336028,0.0,0
BURAM_FL000,48.695556,10.948889,0.0,0
BUREG_FL000,48.454722,11.064167,0.0,0
BZO22_FL000,46.753169,10.995742,0.0,0
CHIEM_FL000,47.825278,12.455833,0.0,0
DEGAB_FL000,48.705683,13.931494,0.0,0
DEGIN_FL000,48.601389,12.706111,0.0,0
DEGUM_FL000,46.465833,13.699167,0.0,0
DENED_FL000,47.269581,11.086914,0.0,0
DENUX_FL000,48.070369,15.880661,0.0,0
DEPIN_FL000,48.224231,11.096519,0.0,0
DETSA_FL000,46.8025,12.281111,0.0,0
DILIT_FL000,48.893817,15.341461,0.0,0
DIMLO_FL000,46.683489,16.422722,0.0,0
DIMUP_FL000,47.478611,10.195556,0.0,0
DINOG_FL000,48.613611,12.515556,0.0,0
DISUN_FL000,47.862778,11.105,0.0,0
DITIS_FL000,48.89802,15.11636,0.0,0
DIVAL_FL000,47.554908,16.129642,0.0,0
DM010_FL000,48.570225,12.185711,0.0,0
DM011_FL000,48.405547,12.15245,0.0,0
DM014_FL000,48.358189,11.707964,0.0,0
DM015_FL000,48.357997,11.705481,0.0,0
DM020_FL000,48.22515,12.243903,0.0,0
DM021_FL000,48.360244,12.132956,0.0,0
DM024_FL000,48.3395,11.735803,0.0,0
DM025_FL000,48.180361,11.816111,0.0,0
DM026_FL000,48.338422,11.725944,0.0,0
DM030_FL000,48.438986,11.372811,0.0,0
DM031_FL000,48.348317,11.435822,0.0,0
DM032_FL000,48.340023,11.497444,0.0,0
DM033_FL000,48.361783,11.754817,0.0,0
DM034_FL000,48.368622,11.843867,0.0,0
DM035_FL000,48.553411,11.624744,0.0,0
DM036_FL000,48.329086,11.3951,0.0,0
DM040_FL000,48.14529,11.37168,0.0,0
DM041_FL000,48.314008,11.440919,0.0,0
DM044_FL000,48.353325,11.9166,0.0,0
DM049_FL000,48.33745,11.70942,0.0,0
DM050_FL000,48.28757,11.70801,0.0,0
DM051_FL000,48.3336,11.65277,0.0,0
DM052_FL000,48.331667,11.63,0.0,0
DM053_FL000,48.31556,11.41195,0.0,0
DM054_FL000,48.30335,11.24906,0.0,0
DM055_FL000,48.426667,11.44,0.0,0
DM056_FL000,48.49185,11.61584,0.0,0
DM057_FL000,48.53867,11.98607,0.0,0
DM058_FL000,48.31285,11.37589,0.0,0
DM059_FL000,48.25665,11.3722,0.0,0
DM060_FL000,48.36,11.691667,0.0,0
DM061_FL000,48.34059,11.47441,0.0,0
DM062_FL000,48.32143,11.2213,0.0,0
DM063_FL000,48.46,11.431667,0.0,0
DM064_FL000,48.49241,11.62042,0.0,0
DM065_FL000,48.53867,11.98607,0.0,0
DM066_FL000,48.3547,11.66093,0.0,0
DM067_FL000,48.35832,11.71002,0.0,0
DM068_FL000,48.193333,12.231667,0.0,0
DM070_FL000,48.368333,11.843333,0.0,0
DM071_FL000,48.37984,11.99274,0.0,0
DM072_FL000,48.380733,11.874619,0.0,0
DM073_FL000,48.418333,11.866667,0.0,0
DM074_FL000,48.35214,12.04464,0.0,0
DM075_FL000,48.02303,11.807,0.0,0
DM076_FL000,47.88833,12.34173,0.0,0
DM077_FL000,48.411667,11.908333,0.0,0
DM078_FL000,48.279153,11.949325,0.0,0
DM079_FL000,48.453333,11.996667,0.0,0
DM080_FL000,48.35405,11.92772,0.0,0
DM081_FL000,48.35748,11.97265,0.0,0
DM082_FL000,48.309981,11.991433,0.0,0
DM083_FL000,48.35929,11.99678,0.0,0
DM084_FL000,48.348333,11.841667,0.0,0
DM085_FL000,48.395,11.866667,0.0,0
DM086_FL000,48.279131,11.949361,0.0,0
DM087_FL000,48.376197,11.879094,0.0,0
DM088_FL000,48.459167,11.879158,0.0,0
DM089_FL000,48.583125,11.82785,0.0,0
DM090_FL000,48.396308,11.880994,0.0,0
DM091_FL000,48.454606,11.881039,0.0,0
DM094_FL000,48.345,12.03,0.0,0
DM411_FL000,48.53792,11.50154,0.0,0
DM412_FL000,48.57716,12.01183,0.0,0
DM420_FL000,48.39984,11.16209,0.0,0
DM421_FL000,48.415,11.34742,0.0,0
DM422_FL000,48.42891,11.52109,0.0,0
DM423_FL000,48.43692,11.62286,0.0,0
DM424_FL000,48.44485,11.72466,0.0,0
DM425_FL000,48.45268,11.82649,0.0,0
DM426_FL000,48.46041,11.92836,0.0,0
DM427_FL000,48.46805,12.03026,0.0,0
DM428_FL000,48.48088,12.20431,0.0,0
DM429_FL000,48.49342,12.37845,0.0,0
DM430_FL000,48.31566,11.17776,0.0,0
DM431_FL000,48.32947,11.34649,0.0,0
DM433_FL000,48.3512,11.61882,0.0,0
DM436_FL000,48.37818,11.96999,0.0,0
DM438_FL000,48.39836,12.24301,0.0,0
DM439_FL000,48.40908,12.39202,0.0,0
DM440_FL000,48.2952,11.18156,0.0,0
DM441_FL000,48.30735,11.33001,0.0,0
DM443_FL000,48.3291,11.60236,0.0,0
DM446_FL000,48.3561,11.95337,0.0,0
DM448_FL000,48.37629,12.22626,0.0,0
DM449_FL000,48.38845,12.39534,0.0,0
DM450_FL000,48.20938,11.19746,0.0,0
DM451_FL000,48.22445,11.38207,0.0,0
DM452_FL000,48.23829,11.55508,0.0,0
DM453_FL000,48.24627,11.65645,0.0,0
DM454_FL000,48.25415,11.75786,0.0,0
DM455_FL000,48.26193,11.8593,0.0,0
DM456_FL000,48.26963,11.96077,0.0,0
DM457_FL000,48.27723,12.06227,0.0,0
DM458_FL000,48.28998,12.23565,0.0,0
DM459_FL000,48.30246,12.40912,0.0,0
