V0,V1,D
EDDM,DMN01_FL000,1583.564
EDDM,DMS11_FL000,1587.914
EDDM,DMN11_FL000,2804.134
EDDM,DMS01_FL000,2832.046
EDNY,R1816_FL000,905.464
EDNY,R1817_FL000,970.894
EDNY,FHA01_FL000,5019.536
LIPB,BOLZANO_FL000,520.174
LIPB,IBZ04_FL000,8583.194
LIPB,VESAL_FL000,30893.896
LIPB,BAKOR_FL000,34927.280
LOWG,R1803_FL000,1506.554
LOWG,KOGEX_FL000,17833.444
LOWI,OEV00_FL000,715.118
LOWI,OEJ11_FL000,1674.095
LOWI,NORTO_FL000,6989.376
LOWK,NAKUM_FL000,9234.706
LOWK,KLAGENFURT_FL000,15124.199
LOWK,TELSI_FL000,24102.331
LOWK,YESEN_FL000,26326.081
LOWK,VILLACH_FL000,32831.775
LOWL,R1819_FL000,1344.754
LOWL,LNZ10_FL000,17023.433
LOWL,NAMAG_FL000,24736.735
LOWS,MORED_FL000,9272.440
LOWS,SALZBURG_FL000,10393.434
LOWS,PEREX_FL000,24764.736
LOWS,UNKEN_FL000,25691.310
LOWW,BRK63_FL000,534.715
LOWW,WW110_FL000,2432.330
LOWW,WW140_FL000,4817.306
LZIB,OBLLZ_FL000,1292.544
LZIB,R1756_FL000,1460.883
LZIB,R1757_FL000,2054.312
LZIB,OKR18_FL000,4517.230
4711E_FL000,LUXEK_FL000,11277.037
4711E_FL000,RTT04_FL000,15835.066
4711E_FL000,KOGOL_FL000,27668.781
4711E_FL000,ABINN_FL000,31194.991
4812E_FL000,ARTUS_FL000,10562.844
4812E_FL000,RTT12_FL000,11353.706
4812E_FL000,TURBU_FL000,14987.861
4812E_FL000,RTT06_FL000,16422.813
4812E_FL000,LOFER_FL000,29439.680
4812E_FL000,CHIEM_FL000,31080.384
AALEN_FL000,TEKSI_FL000,10597.311
AALEN_FL000,ABGAS_FL000,20319.309
AALEN_FL000,LAUPHEIM_FL000,45137.064
ABABI_FL000,GONBA_FL000,19071.968
ABABI_FL000,DEGIN_FL000,19102.570
ABABI_FL000,EGGENFELDEN_FL000,21467.825
ABABI_FL000,AKIMA_FL000,30147.516
ABABI_FL000,ESEGA_FL000,31977.182
ABETI_FL000,PESAT_FL000,5123.230
ABETI_FL000,WW975_FL000,10791.867
ABETI_FL000,SIRDU_FL000,52851.570
ABGAS_FL000,DODIL_FL000,20417.465
ABGAS_FL000,REDVO_FL000,23285.192
ABGAS_FL000,LCH97_FL000,29255.801
ABINN_FL000,NORIN_FL000,5964.815
ABINN_FL000,ABSAM_FL000,9669.585
ABIRI_FL000,RADLY_FL000,22462.858
ABIRI_FL000,KLAGY_FL000,31264.620
ABIRI_FL000,KLAGENFURT_FL000,36413.080
ABIRI_FL000,GRAZ_FL000,41304.731
ABIRI_FL000,GRZNB_FL000,41304.731
ABIRI_FL000,KOGEX_FL000,45928.633
ABIRI_FL000,NIMDU_FL000,47645.373
ABISI_FL000,STAUB_FL000,17092.900
ABISI_FL000,RODING_FL000,22232.977
ABISI_FL000,GONBA_FL000,34202.714
ABISI_FL000,LALIN_FL000,34770.749
ABLOM_FL000,OB249_FL000,5424.602
ABLOM_FL000,WW005_FL000,9081.726
ABLOM_FL000,WW849_FL000,9115.158
ABLOM_FL000,WW955_FL000,10677.608
ABREG_FL000,CORVATSCH_FL000,24140.963
ABRUK_FL000,LEOBE_FL000,2649.152
ABRUK_FL000,GRZ40_FL000,15937.133
ABTAL_FL000,ULMEX_FL000,6186.274
ABTAL_FL000,ELVAG_FL000,14836.690
ABTAL_FL000,KEMAV_FL000,18867.489
ABTAL_FL000,RIXED_FL000,22971.101
ADILO_FL000,KTI08_FL000,6407.736
ADILO_FL000,KTI04_FL000,8046.400
ADILO_FL000,LEMSO_FL000,11347.727
ADLET_FL000,LNZ20_FL000,14341.535
ADLET_FL000,VENEN_FL000,17811.837
ADLET_FL000,DEGAB_FL000,31082.632
ADLET_FL000,BUDEX_FL000,42420.682
AKIMA_FL000,SUBEN_FL000,3246.340
AKIMA_FL000,ESEGA_FL000,16096.561
AKIMA_FL000,VELOM_FL000,25525.337
AKINI_FL000,MAMOR_FL000,16751.317
AKINI_FL000,VAMAS_FL000,18356.049
AKINI_FL000,MBG03_FL000,20216.141
AKINI_FL000,LANDU_FL000,20291.159
AKINI_FL000,SIGGI_FL000,20295.703
AKINI_FL000,DM412_FL000,20886.549
ALAGO_FL000,RUSOT_FL000,9175.745
ALAGO_FL000,FHA01_FL000,10234.618
ALAGO_FL000,ETOXU_FL000,10514.326
ALAGO_FL000,MILKA_FL000,12764.417
ALESE_FL000,SUMIR_FL000,3838.736
ALESE_FL000,VESAL_FL000,27187.748
ALGOI_FL000,KPT23_FL000,7076.804
ALGOI_FL000,FUSSE_FL000,14782.277
ALGOI_FL000,NEBEL_FL000,16827.228
ALMER_FL000,BAGSI_FL000,5392.568
ALMER_FL000,LIMRA_FL000,14731.821
ALMER_FL000,LNZ24_FL000,18202.194
ALONU_FL000,DM457_FL000,3084.081
ALONU_FL000,DM082_FL000,3297.964
ALONU_FL000,DM456_FL000,5651.672
ALONU_FL000,DM094_FL000,5746.438
AMADI_FL000,BADIT_FL000,10039.983
AMADI_FL000,SBGNB_FL000,13842.240
